"UPALNR";"ARTIKELNR";"Reichweite_Tage"
"1039091199";"07299600ET0001";0
"8364842205";"05848800ET0001";0
"8364019621";"00738900ET0001";0
"8365178693";"05849900ET0001";0
"8365148818";R902151681;0
"8364743359";"05154500ET0001";0
"8365561068";"02581800ET0001";0
"8363005014";"01258100ET0001";0
"8361619831";"04570100ET0001";0
"1038961189";R902401521;0
"8363104991";"00268120ET0001";0
"8363586650";"03553400ET0001";0
"8364043039";"09041100ET0001";0
"8363348845";"03264700ET0001";0
"8363591746";"00002300ET0025";0
"1039091328";"06494000ET0001";0
"8353853854";R902120458;0
"8364148390";"08204580ET0001";0
"8364342200";"07737000ET0001";0
"8365124898";"01335800ET0005";0
"8362365683";"05395810ET0001";0
"8363612632";"02796300ET0001";0
"8338539131";R000000892;0
"8362956478";"09028600ET0001";0
"8365327008";"03675000ET0001";0
"8365046831";"04469300ET0001";0
"8365628303";"02355900ET0001";0
"8365358576";"07071800ET0025";0
"8360755028";"05845800ET0010";0
"8363932389";R902279833;0
"8360382545";"04284600ET0001";0
"8364873186";R902191416;0
"8365058636";"07671200ET0001";0
"8363217943";"06316600ET0001";0
"8362196027";"01652100ET0001";0
"8365725392";"07744600ET0001";0
"8363741899";"02997700ET0001";0
"8365356732";"01106040ET0025";0
"8361498108";"01957200ET0001";0
"8364771475";"05939500ET0001";0
"8364843028";R902120458;0
"8364031944";"02551700ET0001";0
"8364595200";"02470400ET0010";0
"8363459466";"04806500ET0001";0
"8334699662";R902456604;0
"8365588812";"08510210ET0001";0
"8363745774";"00123700ET0001";0
"8336142517";R902517793;0
"8358823876";R902120458;0
"8361892340";"08123200ET0001";0
"8365354035";"06544600ET0004";0
"8364012325";"09660700ET0001";0
"8363666086";"04572610ET0001";0
"8365358125";"02199500ET0025";0
"8364851849";"02038080ET0001";0
"8365198134";"03780620ET0006";0
"8365052719";"07478200ET0001";0
"8365352277";"05848800ET0001";0
"8361829636";"06899700ET0001";0
"8362463082";"05848900ET0001";0
"8364177406";"07180610ET0001";0
"8362336249";"05761000ET0001";0
"8363372260";"06853400ET0001";0
"8365308144";"08342890ET0001";0
"8358823784";R902120458;0
"8365205382";"02272900ET0001";0
"8364728394";"01731900ET0025";0
"8365239998";"02334400ET0001";0
"8363856425";"01302700ET0001";0
"8365616911";R902126903;0
"8356989642";R000000892;0
"8364023796";"04527400ET0001";0
"8353313914";R902120458;0
"8364683556";R902236851;0
"8363094360";"06893500ET0001";0
"8363621306";R909651204;0
"8364477070";"03845500ET0001";0
"8364014657";"02986400ET0001";0
"8365197618";R902029526;0
"8365041034";"09477800ET0001";0
"8365128858";R902120458;0
"1038961561";R910909811;0
"8363336224";"02847340ET0001";0
"8364726338";"01319700ET0001";0
"8365067690";"000000000000142371";0
"8364340367";"07252000ET0001";0
"1039091458";"02446000ET0001";0
"8364219205";"08954400ET0004";0
"8364742062";"03627400ET0001";0
"8365059213";"00180100ET0001";0
"8361745325";"07592960ET0010";0
"8363043146";"00345200ET0001";0
"8365472753";"06213400ET0001";0
"8361994150";"08836800ET0001";0
"8360912995";R902279077;0
"8364743359";"00773630ET0001";0
"8361624392";"03021800ET0001";0
"8361135409";"04660420ET0001";0
"8362881091";"05192000ET0001";0
"8362533471";"02226300ET0001";0
"1039091472";"03877410ET0001";0
"8365632805";"07473500ET0001";0
"8364752832";"05942100ET0001";0
"8357244122";R902100179;0
"8361583484";R902241504;0
"8365230803";"01522200ET0001";0
"8360755028";"07220800ET0004";0
"8362326882";"09475900ET0001";0
"8362756764";"05846000ET0006";0
"8365506052";"03070100ET0001";0
"8314435044";R000000892;0
"8364022997";"07295710ET0001";0
"1037814639";R902269317;0
"8364615113";"05872900ET0001";0
"8362954047";"00713400ET0001";0
"8359971736";R909243435;0
"8344489772";R910960813;0
"1039091304";"05939200ET0006";0
"8356729910";R000000892;0
"8364734654";"04920600ET0001";0
"8365233156";R902120458;0
"8365028264";"00059110ET0001";0
"8364494978";"00274210ET0001";0
"8362779312";"04617000ET0001";0
"8360552894";"04767900ET0001";0
"8365562768";"03412500ET0001";0
"8357388727";R000000892;0
"8364372849";"03731600ET0001";0
"8364177734";"08772320ET0001";0
"8364600775";"03779500ET0001";0
"1039091281";"07857100ET0001";0
"8362461095";"05698420ET0001";0
"8360355198";"06459100ET0001";0
"8364472235";"00123800ET0001";0
"8365058988";"05918400ET0025";0
"8327013512";R902603695;0
"8362505997";R902153458;0
"8363609922";R902272229;0
"8360765133";"08710500ET0001";0
"8364832787";"03827500ET0001";0
"8362938030";"02362000ET0001";0
"8363729682";"07666150ET0008";0
"8158792679";R000000892;0
"8364193321";"04451300ET0001";0
"8365473125";R902120458;0
"8364772014";"05607200ET0001";0
"8362913792";"08711800ET0001";0
"8363372260";"00815200ET0001";0
"8361588410";"03697600ET0001";0
"8365581301";"02653910ET0001";0
"8209880294";R000000892;0
"1038990448";R902269324;0
"8358823852";R902120458;0
"8364472235";"07149100ET0001";0
"8362894374";R909154382;0
"1038961561";R902582106;0
"8365728089";R902151681;0
"8364144538";"04459100ET0001";0
"8364038912";"04400500ET0001";0
"8364617292";"07174800ET0001";0
"8365233248";R902120458;0
"8362749261";"05893300ET0001";0
"8364824256";"06981700ET0001";0
"8364623859";"04611000ET0001";0
"8363183774";"05736900ET0001";0
"8365580069";R902279833;0
"8357924468";R000000892;0
"8363640611";"05312900ET0001";0
"8363268853";"05224500ET0001";0
"8363218773";"04248410ET0001";0
"8363936295";"01727900ET0001";0
"8363741202";"07774710ET0001";0
"8362897191";"04271300ET0001";0
"8365483612";"07142400ET0001";0
"8245806371";R000000892;0
"1039091144";"03647000ET0001";0
"8358823791";R902120458;0
"8363945747";"00169610ET0001";0
"8365203036";R902249196;0
"8363372260";"02946830ET0001";0
"8365460521";"06917800ET0001";0
"8365587273";"03066200ET0001";0
"8362529993";"00214110ET0001";0
"1039091267";"000000000000150968";0
"8363279996";R902120458;0
"8364765696";"07267400ET0001";0
"8364023796";"02355900ET0001";0
"8364778658";"02704710ET0001";0
"8363336224";R909154293;0
"8362766411";"08419500ET0001";0
"8363024114";"08307980ET0001";0
"8365628303";"05728900ET0001";0
"8363495341";"01151000ET0025";0
"8364371897";"03542600ET0001";0
