"PALNR";"PLATZ";"Einlagerung";"letzte_Bewegung";"Verweildauer";"ABC_Klasse_System";"ABC_Klasse_Neu"
"8362739415";"020505307";2025-09-02 00:00:00.000;2025-09-09 00:00:00.000;171;C;
"8362924811";"021203500";2025-09-01 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8363018786";"021502704";2025-09-10 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362737701";"020402700";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362968143";"020303100";2025-09-05 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362661761";"020705001";2025-09-01 00:00:00.000;2025-09-10 00:00:00.000;170;B;
"8362913327";"021502404";2025-09-05 00:00:00.000;2025-09-10 00:00:00.000;170;B;
"8362362118";"021005100";2025-09-01 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362462221";"020207006";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;B;
"8362230905";"021008000";2025-09-04 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8363005502";"020804103";2025-09-08 00:00:00.000;2025-09-10 00:00:00.000;170;B;
"8362669781";"020601104";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8361472610";"020803808";2025-08-29 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362470332";"021002002";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8334086264";"022300105";2025-09-05 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362644351";"021603005";2025-09-01 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362785030";"021004707";2025-09-01 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362664908";"020705501";2025-09-04 00:00:00.000;2025-09-10 00:00:00.000;170;B;
"8362934971";"020901808";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;B;
"8362928994";"021106500";2025-09-05 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8350870472";"021604805";2025-09-09 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362628597";"020705201";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362779367";"021006205";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362789502";"021503804";2025-09-04 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362745195";"022407406";2025-08-28 00:00:00.000;2025-09-10 00:00:00.000;170;B;
"8362890307";"022206905";2025-09-04 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362362644";"020406000";2025-08-28 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8350427799";"021304606";2025-09-03 00:00:00.000;2025-09-10 00:00:00.000;170;A;A
"8362733819";"021007806";2025-09-04 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362882555";"022100306";2025-08-28 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362506635";"021207804";2025-09-01 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362326189";"021702902";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362934964";"020901808";2025-09-01 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362728235";"021701505";2025-08-29 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362661778";"020705001";2025-08-28 00:00:00.000;2025-09-10 00:00:00.000;170;B;
"8362954177";"020405102";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362747854";"021502603";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362734564";"020502903";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362765643";"020600502";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362883347";"021404902";2025-08-29 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362924781";"021106800";2025-09-01 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362914133";"020702202";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362642449";"021306200";2025-09-04 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362968044";"020303100";2025-09-04 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8350427799";"021304606";2025-09-03 00:00:00.000;2025-09-10 00:00:00.000;170;C;A
"8362935022";"020901808";2025-09-01 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8362768644";"022207006";2025-09-02 00:00:00.000;2025-09-10 00:00:00.000;170;C;
"8362632679";"020707602";2025-09-04 00:00:00.000;2025-09-10 00:00:00.000;170;A;
"8363005625";"020804103";2025-09-08 00:00:00.000;2025-09-10 00:00:00.000;170;B;
"8351074886";"022303108";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8362789489";"021503804";2025-09-01 00:00:00.000;2025-09-11 00:00:00.000;169;C;
"8363092458";"021501100";2025-09-09 00:00:00.000;2025-09-11 00:00:00.000;169;C;
"8351074701";"022303806";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
